to_core,from_core,from_factor,description
HBSC_all_knr_eb,HBSC_all_knr_eb,1,
HBSC_all_knr_cr,HBSC_all_knr_cr,1,
NHB_all_w_lb,NHB_all_w_lb,1,
NHB_all_w_eb,NHB_all_w_eb,1,
NHB_all_w_cr,NHB_all_w_cr,1,
NHB_all_pnr_lb,NHB_all_pnr_lb,1,
NHB_all_pnr_eb,NHB_all_pnr_eb,1,
NHB_all_pnr_cr,NHB_all_pnr_cr,1,
NHB_all_knr_lb,NHB_all_knr_lb,1,
NHB_all_knr_eb,NHB_all_knr_eb,1,
NHB_all_knr_cr,NHB_all_knr_cr,1,
HBU_all_w_lb,HBUV_all_w_lb,1,
HBU_all_w_eb,HBUV_all_w_eb,1,
HBU_all_w_cr,HBUV_all_w_cr,1,
HBU_all_pnr_lb,HBUV_all_pnr_lb,1,
HBU_all_pnr_eb,HBUV_all_pnr_eb,1,
HBU_all_pnr_cr,HBUV_all_pnr_cr,1,
HBU_all_knr_lb,HBUV_all_knr_lb,1,
HBU_all_knr_eb,HBUV_all_knr_eb,1,
HBU_all_knr_cr,HBUV_all_knr_cr,1,
HBU_all_w_lb,HBUR_all_w_lb,1,
HBU_all_w_eb,HBUR_all_w_eb,1,
HBU_all_w_cr,HBUR_all_w_cr,1,
HBU_all_pnr_lb,HBUR_all_pnr_lb,1,
HBU_all_pnr_eb,HBUR_all_pnr_eb,1,
HBU_all_pnr_cr,HBUR_all_pnr_cr,1,
HBU_all_knr_lb,HBUR_all_knr_lb,1,
HBU_all_knr_eb,HBUR_all_knr_eb,1,
HBU_all_knr_cr,HBUR_all_knr_cr,1,
sHBW_all_w_lb,sHBW_all_w_lb,1,
sHBW_all_w_eb,sHBW_all_w_eb,1,
sHBW_all_w_cr,sHBW_all_w_cr,1,
sHBW_all_pnr_lb,sHBW_all_pnr_lb,1,
sHBW_all_pnr_eb,sHBW_all_pnr_eb,1,
sHBW_all_pnr_cr,sHBW_all_pnr_cr,1,
sHBW_all_knr_lb,sHBW_all_knr_lb,1,
sHBW_all_knr_eb,sHBW_all_knr_eb,1,
sHBW_all_knr_cr,sHBW_all_knr_cr,1,
sHBO_all_w_lb,sHBO_all_w_lb,1,
sHBO_all_w_eb,sHBO_all_w_eb,1,
sHBO_all_w_cr,sHBO_all_w_cr,1,
sHBO_all_pnr_lb,sHBO_all_pnr_lb,1,
sHBO_all_pnr_eb,sHBO_all_pnr_eb,1,
sHBO_all_pnr_cr,sHBO_all_pnr_cr,1,
sHBO_all_knr_lb,sHBO_all_knr_lb,1,
sHBO_all_knr_eb,sHBO_all_knr_eb,1,
sHBO_all_knr_cr,sHBO_all_knr_cr,1,
sNHB_all_w_lb,sNHB_all_w_lb,1,
sNHB_all_w_eb,sNHB_all_w_eb,1,
sNHB_all_w_cr,sNHB_all_w_cr,1,
sNHB_all_pnr_lb,sNHB_all_pnr_lb,1,
sNHB_all_pnr_eb,sNHB_all_pnr_eb,1,
sNHB_all_pnr_cr,sNHB_all_pnr_cr,1,
sNHB_all_knr_lb,sNHB_all_knr_lb,1,
sNHB_all_knr_eb,sNHB_all_knr_eb,1,
sNHB_all_knr_cr,sNHB_all_knr_cr,1,
