to_core,from_core,from_factor,description
pnr_brt,HBO_ilvi_pnr_brt,1,
knr_brt,HBO_ilvi_knr_brt,1,
w_brt,HBO_ilvs_w_brt,1,
pnr_brt,HBO_ilvs_pnr_brt,1,
knr_brt,HBO_ilvs_knr_brt,1,
w_brt,HBO_ihvi_w_brt,1,
pnr_brt,HBO_ihvi_pnr_brt,1,
knr_brt,HBO_ihvi_knr_brt,1,
w_brt,HBO_ihvs_w_brt,1,
pnr_brt,HBO_ihvs_pnr_brt,1,
knr_brt,HBO_ihvs_knr_brt,1,
w_brt,HBSC_all_w_brt,1,
pnr_brt,HBSC_all_pnr_brt,1,
knr_brt,HBSC_all_knr_brt,1,
w_brt,NHB_all_w_brt,1,
pnr_brt,NHB_all_pnr_brt,1,
knr_brt,NHB_all_knr_brt,1,
w_brt,HBU_all_w_brt,1,
pnr_brt,HBU_all_pnr_brt,1,
knr_brt,HBU_all_knr_brt,1,
w_lb,sHBW_all_w_lb,1,
pnr_lb,sHBW_all_pnr_lb,1,
knr_lb,sHBW_all_knr_lb,1,
w_eb,sHBW_all_w_eb,1,
pnr_eb,sHBW_all_pnr_eb,1,
knr_eb,sHBW_all_knr_eb,1,
w_cr,sHBW_all_w_cr,1,
pnr_cr,sHBW_all_pnr_cr,1,
knr_cr,sHBW_all_knr_cr,1,
w_brt,sHBW_all_w_brt,1,
pnr_brt,sHBW_all_pnr_brt,1,
knr_brt,sHBW_all_knr_brt,1,
w_lb,sHBO_all_w_lb,1,
pnr_lb,sHBO_all_pnr_lb,1,
knr_lb,sHBO_all_knr_lb,1,
w_eb,sHBO_all_w_eb,1,
pnr_eb,sHBO_all_pnr_eb,1,
knr_eb,sHBO_all_knr_eb,1,
w_cr,sHBO_all_w_cr,1,
pnr_cr,sHBO_all_pnr_cr,1,
knr_cr,sHBO_all_knr_cr,1,
w_brt,sHBO_all_w_brt,1,
pnr_brt,sHBO_all_pnr_brt,1,
knr_brt,sHBO_all_knr_brt,1,
w_lb,sNHB_all_w_lb,1,
pnr_lb,sNHB_all_pnr_lb,1,
knr_lb,sNHB_all_knr_lb,1,
w_eb,sNHB_all_w_eb,1,
pnr_eb,sNHB_all_pnr_eb,1,
knr_eb,sNHB_all_knr_eb,1,
w_cr,sNHB_all_w_cr,1,
pnr_cr,sNHB_all_pnr_cr,1,
knr_cr,sNHB_all_knr_cr,1,
w_brt,sNHB_all_w_brt,1,
pnr_brt,sNHB_all_pnr_brt,1,
knr_brt,sNHB_all_knr_brt,1,
