avg,incH,incL,incMH,incML
1.54,0.3044,0.1440,0.3401,0.2115
1.55,0.3069,0.1430,0.3403,0.2098
1.56,0.3095,0.1420,0.3404,0.2081
1.57,0.3121,0.1411,0.3404,0.2064
1.58,0.3147,0.1402,0.3404,0.2047
1.59,0.3173,0.1393,0.3404,0.2030
1.6,0.3199,0.1384,0.3405,0.2012
1.61,0.3225,0.1376,0.3404,0.1995
1.62,0.3251,0.1368,0.3404,0.1977
1.63,0.3277,0.1360,0.3403,0.1960
1.64,0.3303,0.1353,0.3402,0.1942
1.65,0.3329,0.1346,0.3401,0.1924
1.66,0.3355,0.1339,0.3399,0.1907
1.67,0.3381,0.1332,0.3398,0.1889
1.68,0.3407,0.1325,0.3397,0.1871
1.69,0.3433,0.1319,0.3395,0.1853
1.7,0.3460,0.1313,0.3393,0.1834
1.71,0.3487,0.1307,0.3390,0.1816
1.72,0.3513,0.1301,0.3388,0.1798
1.73,0.3539,0.1296,0.3385,0.1780
1.74,0.3565,0.1291,0.3382,0.1762
1.75,0.3592,0.1286,0.3379,0.1743
1.76,0.3618,0.1281,0.3376,0.1725
1.77,0.3645,0.1276,0.3373,0.1706
1.78,0.3671,0.1272,0.3369,0.1688
1.79,0.3699,0.1267,0.3365,0.1669
1.8,0.3724,0.1263,0.3362,0.1651
1.81,0.3752,0.1259,0.3357,0.1632
1.82,0.3778,0.1255,0.3353,0.1614
1.83,0.3804,0.1252,0.3349,0.1595
1.84,0.3831,0.1248,0.3344,0.1577
1.85,0.3858,0.1245,0.3339,0.1558
1.86,0.3884,0.1242,0.3335,0.1539
1.87,0.3910,0.1239,0.3330,0.1521
1.88,0.3938,0.1236,0.3324,0.1502
1.89,0.3964,0.1233,0.3319,0.1484
1.9,0.3992,0.1230,0.3313,0.1465
1.91,0.4018,0.1228,0.3308,0.1446
1.92,0.4045,0.1225,0.3302,0.1428
1.93,0.4072,0.1223,0.3296,0.1409
1.94,0.4098,0.1221,0.3290,0.1391
1.95,0.4126,0.1218,0.3284,0.1372
1.96,0.4153,0.1216,0.3277,0.1354
1.97,0.4179,0.1214,0.3271,0.1336
1.98,0.4207,0.1212,0.3264,0.1317
1.99,0.4233,0.1211,0.3257,0.1299
2,0.4260,0.1209,0.3250,0.1281
2.01,0.4288,0.1207,0.3243,0.1262
2.02,0.4314,0.1206,0.3236,0.1244
2.03,0.4341,0.1204,0.3229,0.1226
2.04,0.4369,0.1202,0.3221,0.1208
2.05,0.4395,0.1201,0.3214,0.1190
2.06,0.4422,0.1200,0.3206,0.1172
2.07,0.4449,0.1198,0.3199,0.1154
2.08,0.4476,0.1197,0.3191,0.1136
2.09,0.4503,0.1195,0.3183,0.1119
2.1,0.4530,0.1194,0.3175,0.1101
2.11,0.4558,0.1193,0.3166,0.1083
2.12,0.4585,0.1191,0.3158,0.1066
2.13,0.4611,0.1190,0.3150,0.1049
2.14,0.4639,0.1189,0.3141,0.1031
2.15,0.4665,0.1188,0.3133,0.1014
2.16,0.4693,0.1186,0.3124,0.0997
2.17,0.4720,0.1185,0.3115,0.0980
2.18,0.4747,0.1184,0.3106,0.0963
2.19,0.4775,0.1182,0.3097,0.0946
2.2,0.4801,0.1181,0.3088,0.0930
2.21,0.4829,0.1179,0.3079,0.0913
2.22,0.4855,0.1178,0.3070,0.0897
2.23,0.4882,0.1176,0.3061,0.0881
2.24,0.4909,0.1175,0.3051,0.0865
2.25,0.4936,0.1173,0.3042,0.0849
2.26,0.4963,0.1172,0.3032,0.0833
2.27,0.4990,0.1170,0.3023,0.0817
2.28,0.5018,0.1168,0.3013,0.0801
2.29,0.5045,0.1166,0.3003,0.0786
2.3,0.5071,0.1164,0.2994,0.0771
2.31,0.5098,0.1162,0.2984,0.0756
2.32,0.5125,0.1160,0.2974,0.0741
2.33,0.5152,0.1158,0.2964,0.0726
2.34,0.5180,0.1155,0.2954,0.0711
2.35,0.5206,0.1153,0.2944,0.0697
2.36,0.5234,0.1150,0.2934,0.0682
2.37,0.5261,0.1148,0.2923,0.0668
2.38,0.5288,0.1145,0.2913,0.0654
2.39,0.5314,0.1142,0.2903,0.0641
2.4,0.5341,0.1139,0.2893,0.0627
2.41,0.5368,0.1136,0.2882,0.0614
2.42,0.5395,0.1132,0.2872,0.0601
2.43,0.5422,0.1129,0.2861,0.0588
2.44,0.5449,0.1125,0.2851,0.0575
2.45,0.5476,0.1122,0.2840,0.0562
2.46,0.5502,0.1118,0.2830,0.0550
2.47,0.5529,0.1114,0.2819,0.0538
2.48,0.5556,0.1109,0.2809,0.0526
2.49,0.5583,0.1105,0.2798,0.0514
2.5,0.5609,0.1100,0.2788,0.0503
