avg,wrk0,wrk1,wrk2,wrk3
1.32,0.2037,0.3625,0.3547,0.0791
1.33,0.2002,0.3606,0.3594,0.0798
1.34,0.1967,0.3595,0.3633,0.0805
1.35,0.1933,0.3574,0.3681,0.0812
1.36,0.1899,0.3551,0.3731,0.0819
1.37,0.1865,0.3527,0.3783,0.0825
1.38,0.1831,0.3503,0.3835,0.0831
1.39,0.1798,0.3477,0.3889,0.0836
1.4,0.1764,0.3450,0.3945,0.0841
1.41,0.1732,0.3423,0.3999,0.0846
1.42,0.1699,0.3394,0.4056,0.0851
1.43,0.1667,0.3364,0.4114,0.0855
1.44,0.1635,0.3333,0.4173,0.0859
1.45,0.1603,0.3301,0.4233,0.0863
1.46,0.1571,0.3268,0.4295,0.0866
1.47,0.1540,0.3234,0.4357,0.0869
1.48,0.1509,0.3199,0.4420,0.0872
1.49,0.1478,0.3163,0.4485,0.0874
1.5,0.1447,0.3126,0.4551,0.0876
1.51,0.1417,0.3088,0.4617,0.0878
1.52,0.1387,0.3048,0.4686,0.0879
1.53,0.1357,0.3008,0.4755,0.0880
1.54,0.1328,0.2966,0.4826,0.0880
1.55,0.1298,0.2923,0.4899,0.0880
1.56,0.1269,0.2879,0.4973,0.0879
1.57,0.1240,0.2834,0.5047,0.0879
1.58,0.1212,0.2788,0.5123,0.0877
1.59,0.1183,0.2741,0.5200,0.0876
1.6,0.1155,0.2693,0.5278,0.0874
1.61,0.1127,0.2643,0.5359,0.0871
1.62,0.1099,0.2593,0.5440,0.0868
1.63,0.1072,0.2541,0.5522,0.0865
1.64,0.1044,0.2488,0.5607,0.0861
1.65,0.1017,0.2434,0.5693,0.0856
1.66,0.0990,0.2378,0.5780,0.0852
1.67,0.0964,0.2322,0.5868,0.0846
1.68,0.0937,0.2264,0.5958,0.0841
1.69,0.0911,0.2205,0.6050,0.0834
1.7,0.0885,0.2145,0.6142,0.0828
