avg,veh0,veh1,veh2,veh3
1.32,0.1561,0.5231,0.2404,0.0804
1.33,0.1538,0.5235,0.2417,0.0810
1.34,0.1516,0.5237,0.2430,0.0817
1.35,0.1494,0.5239,0.2443,0.0824
1.36,0.1473,0.5239,0.2457,0.0831
1.37,0.1452,0.5240,0.2470,0.0838
1.38,0.1431,0.5242,0.2483,0.0844
1.39,0.1411,0.5242,0.2496,0.0851
1.4,0.1392,0.5241,0.2509,0.0858
1.41,0.1372,0.5242,0.2521,0.0865
1.42,0.1353,0.5241,0.2534,0.0872
1.43,0.1335,0.5240,0.2547,0.0878
1.44,0.1316,0.5239,0.2560,0.0885
1.45,0.1299,0.5237,0.2572,0.0892
1.46,0.1281,0.5235,0.2585,0.0899
1.47,0.1264,0.5234,0.2597,0.0905
1.48,0.1247,0.5231,0.2610,0.0912
1.49,0.1231,0.5228,0.2622,0.0919
1.5,0.1215,0.5225,0.2634,0.0926
1.51,0.1200,0.5222,0.2646,0.0932
1.52,0.1184,0.5218,0.2659,0.0939
1.53,0.1169,0.5214,0.2671,0.0946
1.54,0.1155,0.5209,0.2683,0.0953
1.55,0.1141,0.5205,0.2695,0.0959
1.56,0.1127,0.5200,0.2707,0.0966
1.57,0.1113,0.5195,0.2719,0.0973
1.58,0.1100,0.5190,0.2730,0.0980
1.59,0.1087,0.5185,0.2742,0.0986
1.6,0.1074,0.5179,0.2754,0.0993
1.61,0.1062,0.5173,0.2765,0.1000
1.62,0.1050,0.5166,0.2777,0.1007
1.63,0.1039,0.5160,0.2788,0.1013
1.64,0.1027,0.5153,0.2800,0.1020
1.65,0.1016,0.5146,0.2811,0.1027
1.66,0.1006,0.5138,0.2822,0.1034
1.67,0.0995,0.5131,0.2834,0.1040
1.68,0.0985,0.5123,0.2845,0.1047
1.69,0.0975,0.5115,0.2856,0.1054
1.7,0.0966,0.5106,0.2867,0.1061
1.71,0.0956,0.5098,0.2878,0.1068
1.72,0.0947,0.5090,0.2889,0.1074
1.73,0.0939,0.5080,0.2900,0.1081
1.74,0.0930,0.5072,0.2910,0.1088
1.75,0.0922,0.5062,0.2921,0.1095
1.76,0.0914,0.5053,0.2932,0.1101
1.77,0.0906,0.5044,0.2942,0.1108
1.78,0.0899,0.5033,0.2953,0.1115
1.79,0.0892,0.5023,0.2963,0.1122
1.8,0.0885,0.5013,0.2974,0.1128
1.81,0.0878,0.5003,0.2984,0.1135
1.82,0.0872,0.4992,0.2994,0.1142
1.83,0.0866,0.4980,0.3005,0.1149
1.84,0.0860,0.4969,0.3015,0.1156
1.85,0.0854,0.4959,0.3025,0.1162
1.86,0.0848,0.4948,0.3035,0.1169
1.87,0.0843,0.4936,0.3045,0.1176
1.88,0.0838,0.4924,0.3055,0.1183
1.89,0.0833,0.4913,0.3064,0.1190
1.9,0.0828,0.4901,0.3074,0.1197
1.91,0.0824,0.4889,0.3084,0.1203
1.92,0.0820,0.4877,0.3093,0.1210
1.93,0.0816,0.4864,0.3103,0.1217
1.94,0.0812,0.4852,0.3112,0.1224
1.95,0.0808,0.4839,0.3122,0.1231
1.96,0.0805,0.4826,0.3131,0.1238
1.97,0.0801,0.4815,0.3140,0.1244
1.98,0.0798,0.4801,0.3150,0.1251
1.99,0.0795,0.4788,0.3159,0.1258
2,0.0792,0.4775,0.3168,0.1265
2.01,0.0790,0.4761,0.3177,0.1272
2.02,0.0787,0.4748,0.3186,0.1279
2.03,0.0785,0.4734,0.3195,0.1286
2.04,0.0783,0.4721,0.3203,0.1293
2.05,0.0781,0.4708,0.3212,0.1299
2.06,0.0779,0.4694,0.3221,0.1306
2.07,0.0777,0.4681,0.3229,0.1313
2.08,0.0776,0.4666,0.3238,0.1320
2.09,0.0774,0.4653,0.3246,0.1327
2.1,0.0773,0.4638,0.3255,0.1334
2.11,0.0772,0.4624,0.3263,0.1341
2.12,0.0771,0.4610,0.3271,0.1348
2.13,0.0770,0.4595,0.3280,0.1355
2.14,0.0769,0.4581,0.3288,0.1362
2.15,0.0769,0.4566,0.3296,0.1369
2.16,0.0768,0.4552,0.3304,0.1376
2.17,0.0768,0.4537,0.3312,0.1383
2.18,0.0767,0.4524,0.3319,0.1390
2.19,0.0767,0.4509,0.3327,0.1397
2.2,0.0767,0.4494,0.3335,0.1404
2.21,0.0767,0.4479,0.3343,0.1411
2.22,0.0767,0.4465,0.3350,0.1418
2.23,0.0767,0.4450,0.3358,0.1425
2.24,0.0767,0.4436,0.3365,0.1432
2.25,0.0767,0.4422,0.3372,0.1439
2.26,0.0768,0.4406,0.3380,0.1446
2.27,0.0768,0.4392,0.3387,0.1453
2.28,0.0768,0.4378,0.3394,0.1460
2.29,0.0769,0.4363,0.3401,0.1467
2.3,0.0770,0.4348,0.3408,0.1474
2.31,0.0770,0.4334,0.3415,0.1481
2.32,0.0771,0.4318,0.3422,0.1489
2.33,0.0772,0.4303,0.3429,0.1496
2.34,0.0772,0.4290,0.3435,0.1503
2.35,0.0773,0.4275,0.3442,0.1510
2.36,0.0774,0.4260,0.3449,0.1517
2.37,0.0775,0.4246,0.3455,0.1524
2.38,0.0776,0.4230,0.3462,0.1532
2.39,0.0777,0.4216,0.3468,0.1539
2.4,0.0778,0.4202,0.3474,0.1546
2.41,0.0779,0.4188,0.3480,0.1553
2.42,0.0780,0.4173,0.3487,0.1560
2.43,0.0781,0.4158,0.3493,0.1568
2.44,0.0782,0.4144,0.3499,0.1575
2.45,0.0783,0.4130,0.3505,0.1582
2.46,0.0784,0.4117,0.3510,0.1589
2.47,0.0785,0.4102,0.3516,0.1597
2.48,0.0786,0.4088,0.3522,0.1604
2.49,0.0786,0.4075,0.3528,0.1611
2.5,0.0787,0.4061,0.3533,0.1619
2.51,0.0788,0.3516,0.4070,0.1626
2.52,0.0789,0.3498,0.4080,0.1633
2.53,0.0790,0.3479,0.4090,0.1641
2.54,0.0791,0.3461,0.4100,0.1648
2.55,0.0792,0.3443,0.4110,0.1655
2.56,0.0792,0.3424,0.4121,0.1663
2.57,0.0793,0.3406,0.4131,0.1670
2.58,0.0794,0.3387,0.4142,0.1677
2.59,0.0794,0.3369,0.4152,0.1685
2.6,0.0795,0.3351,0.4162,0.1692
2.61,0.0795,0.3332,0.4173,0.1700
2.62,0.0796,0.3314,0.4183,0.1707
2.63,0.0796,0.3295,0.4194,0.1715
2.64,0.0796,0.3276,0.4206,0.1722
2.65,0.0797,0.3258,0.4215,0.1730
2.66,0.0797,0.3239,0.4227,0.1737
2.67,0.0797,0.3221,0.4237,0.1745
2.68,0.0797,0.3202,0.4249,0.1752
2.69,0.0797,0.3184,0.4259,0.1760
2.7,0.0796,0.3165,0.4271,0.1768
2.71,0.0796,0.3147,0.4282,0.1775
2.72,0.0796,0.3128,0.4293,0.1783
2.73,0.0795,0.3110,0.4305,0.1790
2.74,0.0794,0.3091,0.4317,0.1798
2.75,0.0794,0.3073,0.4327,0.1806
2.76,0.0793,0.3055,0.4339,0.1813
2.77,0.0792,0.3036,0.4351,0.1821
2.78,0.0791,0.3018,0.4362,0.1829
2.79,0.0789,0.2999,0.4376,0.1836
2.8,0.0788,0.2981,0.4387,0.1844
2.81,0.0787,0.2963,0.4398,0.1852
2.82,0.0785,0.2945,0.4410,0.1860
2.83,0.0783,0.2926,0.4423,0.1868
2.84,0.0781,0.2908,0.4436,0.1875
2.85,0.0779,0.2890,0.4448,0.1883
2.86,0.0777,0.2872,0.4460,0.1891
2.87,0.0774,0.2854,0.4473,0.1899
2.88,0.0772,0.2836,0.4485,0.1907
2.89,0.0769,0.2818,0.4498,0.1915
2.9,0.0766,0.2800,0.4511,0.1923
2.91,0.0763,0.2783,0.4524,0.1930
2.92,0.0760,0.2765,0.4537,0.1938
2.93,0.0756,0.2747,0.4551,0.1946
2.94,0.0753,0.2730,0.4563,0.1954
2.95,0.0749,0.2712,0.4577,0.1962
2.96,0.0745,0.2695,0.4590,0.1970
2.97,0.0741,0.2677,0.4604,0.1978
2.98,0.0736,0.2660,0.4618,0.1986
2.99,0.0732,0.2643,0.4631,0.1994
3,0.0727,0.2626,0.4644,0.2003
3.01,0.0722,0.2609,0.4658,0.2011
3.02,0.0717,0.2592,0.4672,0.2019
3.03,0.0711,0.2575,0.4687,0.2027
3.04,0.0705,0.2558,0.4702,0.2035
3.05,0.0700,0.2541,0.4716,0.2043
3.06,0.0693,0.2525,0.4731,0.2051
3.07,0.0687,0.2508,0.4745,0.2060
3.08,0.0680,0.2492,0.4760,0.2068
3.09,0.0674,0.2475,0.4775,0.2076
3.1,0.0666,0.2459,0.4790,0.2085
3.11,0.0659,0.2443,0.4805,0.2093
3.12,0.0652,0.2427,0.4820,0.2101
3.13,0.0644,0.2411,0.4836,0.2109
3.14,0.0636,0.2396,0.4850,0.2118
3.15,0.0627,0.2380,0.4867,0.2126
3.16,0.0619,0.2364,0.4882,0.2135
3.17,0.0610,0.2349,0.4898,0.2143
3.18,0.0600,0.2334,0.4915,0.2151
3.19,0.0591,0.2319,0.4930,0.2160
3.2,0.0581,0.2304,0.4947,0.2168
3.21,0.0571,0.2289,0.4963,0.2177
3.22,0.0561,0.2274,0.4980,0.2185
3.23,0.0550,0.2259,0.4997,0.2194
3.24,0.0539,0.2245,0.5013,0.2203
3.25,0.0528,0.2231,0.5030,0.2211
3.26,0.0516,0.2217,0.5047,0.2220
3.27,0.0505,0.2203,0.5064,0.2228
3.28,0.0492,0.2189,0.5082,0.2237
3.29,0.0480,0.2175,0.5099,0.2246
3.3,0.0467,0.2161,0.5117,0.2255
3.31,0.0454,0.2148,0.5135,0.2263
3.32,0.0440,0.2135,0.5153,0.2272
3.33,0.0427,0.2122,0.5170,0.2281
3.34,0.0413,0.2109,0.5188,0.2290
3.35,0.0398,0.2096,0.5208,0.2298
3.36,0.0383,0.2084,0.5226,0.2307
3.37,0.0368,0.2071,0.5245,0.2316
3.38,0.0353,0.2059,0.5263,0.2325
3.39,0.0337,0.2047,0.5282,0.2334
3.4,0.0320,0.2035,0.5302,0.2343
3.41,0.0304,0.2023,0.5321,0.2352
3.42,0.0287,0.2012,0.5340,0.2361
3.43,0.0270,0.2001,0.5359,0.2370
3.44,0.0252,0.1990,0.5379,0.2379
3.45,0.0234,0.1979,0.5399,0.2388
3.46,0.0215,0.1968,0.5420,0.2397
3.47,0.0196,0.1957,0.5441,0.2406
3.48,0.0177,0.1947,0.5461,0.2415
3.49,0.0158,0.1937,0.5481,0.2424
3.5,0.0138,0.1927,0.5501,0.2434
3.51,0.0117,0.1917,0.5523,0.2443
3.52,0.0096,0.1908,0.5544,0.2452
3.53,0.0075,0.1899,0.5565,0.2461
3.54,0.0053,0.1890,0.5586,0.2471
3.55,0.0031,0.1881,0.5608,0.2480
3.56,0.0009,0.1872,0.5630,0.2489
3.57,0.0000,0.1864,0.5637,0.2499
3.58,0.0000,0.1855,0.5637,0.2508
3.59,0.0000,0.1847,0.5635,0.2518
3.6,0.0000,0.1840,0.5633,0.2527
3.61,0.0000,0.1832,0.5632,0.2536
3.62,0.0000,0.1825,0.5629,0.2546
3.63,0.0000,0.1818,0.5627,0.2555
3.64,0.0000,0.1811,0.5624,0.2565
3.65,0.0000,0.1805,0.5620,0.2575
3.66,0.0000,0.1798,0.5618,0.2584
3.67,0.0000,0.1792,0.5614,0.2594
